web-scraper-order,web-scraper-start-url,house-link,house-link-href,title,rent-cost,house-area,location,bedroom,bathroom
"1716832619-58","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê nhà riêng lâu dài đầy đủ nội thất P.10, Q.Phú Nhuận","45 triệu/tháng","243,6 m²","Phú Nhuận, Hồ Chí Minh","4","4"
"1716832623-59","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà nguyên căn KDC Cao Lỗ (Đồng Diều), P. 4, Quận 8, TP. HCM","18 triệu/tháng","80 m²","Quận 8, Hồ Chí Minh","6","6"
"1716832623-60","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà Hoàng cầu , diện tích 100m2x6T, thông sàn, có thang máy, làm văn phòng. LH 0982 987 ***","40 triệu/tháng","100 m²","Đống Đa, Hà Nội","",""
"1716832623-61","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Chính chủ cho thuê nhà nguyên căn 5 tầng làm văn phòng (ko ở lại) tại Hoàng Quốc Việt, Cầu Giấy","28 triệu/tháng","52 m²","Cầu Giấy, Hà Nội","4","5"
"1716832623-62","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Một căn nhà phố 2 mặt tiền trước sau. Đường Nguyễn Văn Khối, P9 nhà có thang máy giá chỉ 23triệu","23 triệu/tháng","80 m²","Gò Vấp, Hồ Chí Minh","4","5"
"1716832623-63","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà 30m2 x 2T nhà mới đủ đồ ngõ 219 Đê Tô Hoàng HBT - HN","7,5 triệu/tháng","30 m²","Hai Bà Trưng, Hà Nội","",""
"1716832623-64","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà mới nguyên căn hẻm 160 Nguyễn Văn Quỳ, Phú Thuận, dọn vào ở ngay","15 triệu/tháng","60 m²","Quận 7, Hồ Chí Minh","4","4"
"1716832623-65","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà nguyên căn giá rẻ","7,5 triệu/tháng","30 m²","Phú Nhuận, Hồ Chí Minh","1","2"
"1716832623-66","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Nhà riêng 100m2 trước hẻm xe hơi, trung tâm quận 10","18 triệu/tháng","100 m²","Quận 10, Hồ Chí Minh","3","4"
"1716832623-67","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Nhà mới toanh! Phố Láng Hạ - Đống Đa: 7 tầng - thang máy, đường 3 làn ô tô, cách phố 10m, 35tr/th","35 triệu/tháng","50 m²","Đống Đa, Hà Nội","",""
"1716832623-68","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà hẻm xe hơi 35/14 đường Đinh Bộ Lĩnh, P. 26, Q. Bình Thạnh - giá: 17 triệu đồng/tháng","17 triệu/tháng","60 m²","Bình Thạnh, Hồ Chí Minh","3","4"
